account_id,limit,products,n_products
371138,9000.0,Derivatives|InvestmentStock,2
557378,10000.0,InvestmentStock|Commodity|Brokerage|CurrencyService,4
198100,10000.0,Derivatives|CurrencyService|InvestmentStock,3
674364,10000.0,InvestmentStock,1
278603,10000.0,Commodity|InvestmentStock,2
383777,10000.0,CurrencyService|Derivatives|InvestmentFund|Commodity|InvestmentStock,5
794875,9000.0,InvestmentFund|InvestmentStock,2
328304,10000.0,Derivatives|InvestmentStock|CurrencyService,3
487188,10000.0,Brokerage|CurrencyService|InvestmentStock,3
910579,10000.0,Brokerage|InvestmentStock,2
260499,10000.0,InvestmentFund|Derivatives|InvestmentStock,3
668949,10000.0,Brokerage|CurrencyService|InvestmentStock|Derivatives,4
976027,10000.0,Brokerage|InvestmentStock,2
135185,10000.0,CurrencyService|Brokerage|InvestmentStock|Commodity,4
370583,10000.0,Brokerage|Commodity|InvestmentStock,3
870466,10000.0,Derivatives|Brokerage|Commodity|InvestmentStock,4
692278,10000.0,Commodity|InvestmentStock,2
864905,10000.0,Commodity|InvestmentStock,2
299072,10000.0,InvestmentFund|InvestmentStock,2
137994,10000.0,CurrencyService|InvestmentStock,2
572981,10000.0,InvestmentStock|CurrencyService,2
977982,10000.0,InvestmentFund|Derivatives|InvestmentStock|CurrencyService,4
616040,10000.0,InvestmentStock,1
775273,10000.0,Brokerage|Commodity|InvestmentStock,3
212024,10000.0,InvestmentFund|Brokerage|InvestmentStock,3
433811,10000.0,CurrencyService|InvestmentFund|Brokerage|InvestmentStock,4
353465,10000.0,CurrencyService|InvestmentStock,2
464470,10000.0,Brokerage|InvestmentStock,2
324287,10000.0,Commodity|CurrencyService|Derivatives|InvestmentStock,4
403363,10000.0,CurrencyService|InvestmentFund|InvestmentStock|Derivatives,4
276528,10000.0,InvestmentFund|InvestmentStock,2
383701,10000.0,InvestmentFund|InvestmentStock,2
423171,10000.0,Brokerage|CurrencyService|Derivatives|InvestmentStock,4
491860,10000.0,CurrencyService|Commodity|InvestmentStock,3
463155,10000.0,Brokerage|InvestmentFund|InvestmentStock,3
729049,10000.0,InvestmentStock,1
209363,10000.0,Brokerage|InvestmentStock|Commodity|Derivatives,4
895735,10000.0,InvestmentFund|CurrencyService|Derivatives|InvestmentStock,4
996263,10000.0,Derivatives|Brokerage|InvestmentStock,3
984021,10000.0,InvestmentFund|Derivatives|InvestmentStock,3
503933,10000.0,InvestmentFund|InvestmentStock|Derivatives|Commodity,4
599752,10000.0,Brokerage|Commodity|Derivatives|CurrencyService|InvestmentStock,5
475387,10000.0,InvestmentFund|Derivatives|InvestmentStock,3
775690,10000.0,InvestmentFund|InvestmentStock,2
813016,10000.0,InvestmentStock|CurrencyService|Brokerage,3
136137,10000.0,Commodity|InvestmentStock|InvestmentFund|Derivatives,4
831097,10000.0,Commodity|InvestmentStock,2
918103,10000.0,CurrencyService|Brokerage|Commodity|InvestmentStock,4
658755,10000.0,CurrencyService|Commodity|InvestmentStock,3
304914,10000.0,Brokerage|InvestmentStock,2
522933,10000.0,InvestmentFund|Brokerage|Derivatives|InvestmentStock,4
788678,10000.0,Commodity|InvestmentStock,2
827328,10000.0,Derivatives|InvestmentStock,2
358213,10000.0,InvestmentStock,1
